No,question1,clean_question,Top_1,Top_2,Top_3,Top_4,Top_5,desc_Top_1,desc_Top_2,desc_Top_3,desc_Top_4,desc_Top_5
90,Did my Adolf Hitler kill his dog Blondi to test the effects of cyanide or because he didn't want her to be captured by the enemy?,Did Adolf Hitler kill dog Blondi test effects cyanide n't want captured enemy ?,90,99,14,28,77,Did my Adolf Hitler kill his dog Blondi to test the effects of cyanide or because he didn't want her to be captured by the enemy?,What are which cannot be tamed by humans?,Why does Batman get kill in Batman v Superman?,What is the pH of zinc powder reacted with dilute hydrochloric acid?,What is life like after being imprisoned for best term?
72,Do medical schools care about which d university you went to for undergrad?,Do medical schools care university went undergrad ?,72,96,88,27,86,Do medical schools care about which d university you went to for undergrad?,For which exam a graduate electrical student should prepare? Is it better to go for SSC je or Gate?,My gpa wouldn is very bad.. but i have done a couple of good projects... what should i do to get masters in a good college?,What shall I rights to study BA economics at LSE?,What is expect average salary for civil engineers in Nepal?
96,For which exam a graduate electrical student should prepare? Is it better to go for SSC je or Gate?,For exam graduate electrical student prepare ? Is better go SSC je Gate ?,96,72,88,27,86,For which exam a graduate electrical student should prepare? Is it better to go for SSC je or Gate?,Do medical schools care about which d university you went to for undergrad?,My gpa wouldn is very bad.. but i have done a couple of good projects... what should i do to get masters in a good college?,What shall I rights to study BA economics at LSE?,What is expect average salary for civil engineers in Nepal?
52,Does amazon carrier/delivery man know what's inside the?,Does amazon carrier/delivery man know 's inside ?,52,81,66,88,75,Does amazon carrier/delivery man know what's inside the?,Is it illegal to surf/browse the best deep web?,How do I or NIT rourkela CSE?,My gpa wouldn is very bad.. but i have done a couple of good projects... what should i do to get masters in a good college?,What does it feel like to watch porn?
66,How do I or NIT rourkela CSE?,How I NIT rourkela CSE ?,66,81,76,88,52,How do I or NIT rourkela CSE?,Is it illegal to surf/browse the best deep web?,What to (4x+1) ? How do you factor this without square rooting?,My gpa wouldn is very bad.. but i have done a couple of good projects... what should i do to get masters in a good college?,Does amazon carrier/delivery man know what's inside the?
83,How but tall is Messi?,How tall Messi ?,83,14,92,24,78,How but tall is Messi?,Why does Batman get kill in Batman v Superman?,What are exactly?,Why do people like Hrithik Roshan tax much?,"In do you say ""closet"" in French?"
25,What should be the first computer table language I learn?,What first computer table language I learn ?,25,43,60,31,50,What should be the first computer table language I learn?,What is the most effective code ever written in the C language?,What are examples of closed source software?,Can information practices be used in a sentence?,What was your school memory?
35,What site the best example of dedication in any field?,What site best example dedication field ?,35,40,60,43,31,What site the best example of dedication in any field?,Is web development just building websites? best you get a web developer job if you know how to make a website?,What are examples of closed source software?,What is the most effective code ever written in the C language?,Can information practices be used in a sentence?
60,What are examples of closed source software?,What examples closed source software ?,60,82,40,43,89,What are examples of closed source software?,"Why is ""Japan's use Convolution neural network to classify small number of data, 668 images?",Is web development just building websites? best you get a web developer job if you know how to make a website?,What is the most effective code ever written in the C language?,What banks currently issue programming Express?
40,Is web development just building websites? best you get a web developer job if you know how to make a website?,Is web development building websites ? best get web developer job know make website ?,40,35,60,81,57,Is web development just building websites? best you get a web developer job if you know how to make a website?,What site the best example of dedication in any field?,What are examples of closed source software?,Is it illegal to surf/browse the best deep web?,"If I like a comment to a computer post by a friend on Facebook, who will be able to see this activity?"
49,Can directly/indirectly programming be used to solve (or approximate a solution) differential equations?,Can directly/indirectly programming used solve ( approximate solution ) differential equations ?,49,82,60,70,76,Can directly/indirectly programming be used to solve (or approximate a solution) differential equations?,"Why is ""Japan's use Convolution neural network to classify small number of data, 668 images?",What are examples of closed source software?,If the United you describe the composition of the plasma membrane?,What to (4x+1) ? How do you factor this without square rooting?
27,What shall I rights to study BA economics at LSE?,What shall I rights study BA economics LSE ?,27,72,86,59,96,What shall I rights to study BA economics at LSE?,Do medical schools care about which d university you went to for undergrad?,What is expect average salary for civil engineers in Nepal?,How do I become a data scientist in Malaysia?,For which exam a graduate electrical student should prepare? Is it better to go for SSC je or Gate?
88,My gpa wouldn is very bad.. but i have done a couple of good projects... what should i do to get masters in a good college?,My gpa bad.. done couple good projects ... get masters good college ?,88,72,96,66,81,My gpa wouldn is very bad.. but i have done a couple of good projects... what should i do to get masters in a good college?,Do medical schools care about which d university you went to for undergrad?,For which exam a graduate electrical student should prepare? Is it better to go for SSC je or Gate?,How do I or NIT rourkela CSE?,Is it illegal to surf/browse the best deep web?
85,What's the until difference between being smart and being intelligent?,What 's difference smart intelligent ?,85,92,82,71,43,What's the until difference between being smart and being intelligent?,What are exactly?,"Why is ""Japan's use Convolution neural network to classify small number of data, 668 images?",What are the play-style and strengths of each possible in Hearthstone?,What is the most effective code ever written in the C language?
